JIRA_ISSUE_ID,JIRA_ISSUE_KEY
118947,TPM2-2
115631,TPM-27
130479,PIA-343
102532,BUAPP-50470
141890,PSV-692
141916,PSV-718
141901,PSV-703
77906,FED-29
125262,BUAPP-60819
70777,GAB-32
60402,HRITHELP-362
44032,EMPRES-36
126533,DATA-3016
77762,HRITHELP-631
17003,ANARC-129
59599,CCPFB-39
81043,BUW-509
67306,BUW-457
72957,CCDOC-133
48221,EM-6
28095,BUAPP-10930
105250,DSO-956
84773,MOPS-969
27350,NOP-12
70758,IMP-2811
20303,DM-243
123729,BUAPP-60120
111744,BUAPP-55048
62724,IMP-2627
62738,IMP-2570
62768,IMP-2214
20181,DM-222
51980,BUW-346
61859,CDEV-367
141448,PSV-458
27985,COPS-468
19478,DM-167
69683,BUAPP-32792
36030,BUW-184
141842,PSV-644
77914,FED-35
104160,DATAOPS-877
62775,IMP-2174
61862,CDEV-370
44700,COPSAG2021-27
20450,DM-274
56150,HRITHELP-288
115480,GOVGRC-110
69667,HRITHELP-501
141474,PSV-484
141622,PSV-570
141235,PSV-247
44713,EMPRES-42
36032,BUW-186
54759,RVOPS-127
62807,IMP-1710
141470,PSV-480
141479,PSV-489
27076,WAF-71
23828,WAF-20
25423,COPS-115
91662,DSO-115
141368,PSV-378
77498,IP-181
77866,IP-190
22310,DM-567
19532,DAARCH-76
20530,DM-314
128147,PIA-235
64420,BUAPP-29735
120199,DATAOPS-1333
62704,IMP-2681
62723,IMP-2628
95757,MOPS-1280
49690,EHC-19
77278,SK-44
51784,HRITHELP-204
41570,BUW-236
65908,BUAPP-30607
91193,CEL2-280
55752,HRITHELP-280
111330,EOC-11
62799,IMP-1829
62777,IMP-2139
62700,IMP-2697
20619,DM-359
45791,BUW-257
81850,ABU-122
61607,HRITHELP-387
21010,BUDES-157
121097,HRIX-48
59533,BUAPP-27420
27313,WAF-78
44752,COPSAG2021-29
21196,
67630,BUAND-2998
115409,GOVGRC-39
96301,CCSIR-27
63726,IMP-2779
126564,BUAPP-61410
88385,BUAPP-43212
70152,SSRCF-9
50874,RVOPS-70
49691,EHC-7
51396,BUW-319
27311,ANLYT-59
62710,IMP-2649
119207,BUAPP-58218
135522,BUAPP-65039
91194,CEL2-281
19906,DM-202
49802,SFDC-3
115797,EOC-31
19510,DM-168
46397,BUW-260
95545,GOVSQUAD-787
105665,BUAPP-52114
128152,PIA-239
21185,
86994,CEL2-233
72515,CEL2-6
108820,CCSIR-78
77422,CEL2-157
19666,ANLYT-7
27061,WAF-62
20506,DM-290
75314,IP-94
87890,BUW-526
49933,HRITHELP-157
54848,RVOPS-130
26098,ANLYT-38
84473,CCPFB-99
32177,ANLYT-136
106456,BUAPP-52644
93167,DEMAND-46
67242,BUW-443
61671,HRITHELP-392
20166,DMCL-8
20526,DM-310
141898,PSV-700
141893,PSV-695
141835,PSV-637
88392,BUAPP-43219
88406,BUAPP-43231
88427,BUAPP-43252
76058,CEL2-136
141862,PSV-664
141848,PSV-650
88390,BUAPP-43217
97552,CEL2-300
109836,CD-45
137498,BUAPP-65737
109272,BUAPP-53934
87405,CEL2-242
100897,PIANALYTIC-41
24822,
80370,IP-234
105426,BUAPP-51997
66789,CCPFB-68
16610,ANARC-40
120633,BUAPP-58870
141381,PSV-391
140963,PIA-495
140965,PIA-497
46830,BUW-290
77214,BUAPP-37039
81456,ABU-35
28058,ANLYT-75
50627,RVOPS-59
95759,MOPS-1282
29996,WAF-102
102575,MOPS-1492
110548,BUAPP-54509
86449,CEL2-213
53268,CDEV-176
20979,DM-390
143250,PIA-519
108466,BUAPP-53486
65724,HRITHELP-459
49971,RVOPS-15
76369,BUW-482
47860,HRITHELP-107
75363,IP-97
30114,WAF-125
76829,IP-161
49694,EHC-10
110634,CNOPS-17
25796,ANLYT-30
62466,BUAPP-28884
107368,BUAPP-53059
20086,DAARCH-44
73614,CJ-14
141602,PSV-550
141673,PSV-619
141265,PSV-275
141320,PSV-330
141357,PSV-367
57480,HRITHELP-324
141487,PSV-497
141486,PSV-496
57259,HRITHELP-311
77773,BUW-494
35160,COPS-1791
27369,NOP-31
100748,BUINSIGHTS-7
81478,ABU-56
63421,HRITHELP-430
75805,HRITHELP-599
76229,INFOSEC-5201
75945,IP-140
79314,IP-206
63079,HRITHELP-416
61164,HRITHELP-379
23768,WAF-12
45130,BUDES-406
28403,BUDES-307
30106,WAF-121
20286,BUDES-139
63675,MOPS-21
63671,MOPS-17
82318,HRITHELP-721
78302,IP-198
83179,MOPS-916
49183,HRITHELP-147
29656,COPS-771
37805,POPS-24
28554,ANLYT-121
64233,HRITHELP-444
41558,BUW-233
77958,HRITHELP-636
126738,DATA-3048
65706,BUAPP-30497
85156,MOPS-1007
85145,MOPS-1001
27376,NOP-38
28211,NOP-62
61058,CCPFB-41
98889,RDATA-13
26155,WAF-51
118971,TPM-7
67216,BUW-439
74522,CEL2-44
74984,CCPFB-85
75040,IP-51
75043,IP-54
73117,BUAPP-34669
79715,HRITHELP-674
106025,CCPFB-128
21623,BUDES-166
141630,PSV-578
28218,NOP-69
