opportunity_owner_region,line_of_business
AE EMEA 1,New/Upsell
AE EMEA 2,New/Upsell
AE Enterprise West 2,New/Upsell
AE Enterprise West 1,New/Upsell
AE Enterprise East 1,New/Upsell
AE Enterprise East 2,New/Upsell
AE Emerging Enterprise 1,New/Upsell
AE Emerging Enterprise 2,New/Upsell
AE Emerging Enterprise 3,New/Upsell
AE SMB,New/Upsell
Central South,New/Upsell
West,New/Upsell
Northeast,New/Upsell
Southeast,New/Upsell
Central North,New/Upsell
Canada,New/Upsell
Referral/Alliances,New/Upsell
Europe,New/Upsell
Government,New/Upsell
GAP 1,Expand
GAP 2,Expand
GAP 3,Expand
GAP 4,Expand
AM East,Expand
AM West,Expand
AM Europe,Expand
AM Central,Expand
Care,Expand
AM Enterprise East,Expand
AM Enterprise West,Expand
AM EMEA,Expand
AM Emerging Enterprise 1,Expand
AM Emerging Enterprise 2,Expand
CSM EMEA SMB,Expand
CSM NORAM SMB,Expand
