ROLE_ID,ROLE,COUNT_OF_ACTIVE_USERS,MARKETING_TEAM_ROLLUP
00E50000001FMbHEAW,Customer Success Manager,47,Undefined
00E50000001ITclEAG,All Access,38,Undefined
00E50000001ITd0EAG,Finance,29,Undefined
00E2J000001oJmmUAE,Undefined,19,Undefined
00E2J000001Yk2PUAS,Deployment Manager,17,Undefined
00E2J000001g8JWUAY,SBS - East,15,Undefined
00E2J000001wJ40UAE,Product Marketing,14,Undefined
00E2J000001ZUuiUAG,CSM Global SMB,11,Undefined
00E2J000001sRnMUAU,Product Management,11,Undefined
00E2J000001ZUuHUAW,AE Emerging Enterprise 3,9,AE Emerging Enterprise
00E2J000001ZUuaUAG,AM Enterprise West,9,AM Enterprise
00E2J000001sRJgUAM,Inbound SDR,9,Undefined
00E2J000001ZUuDUAW,AE Emerging Enterprise 1,8,AE Emerging Enterprise
00E2J000001ZUuFUAW,AE Emerging Enterprise 2,8,AE Emerging Enterprise
00E2J000001sPoSUAU,Government,8,Government
00E2J000001wWWbUAM,Legal,8,Undefined
00E2J000001ZUuMUAW,AE EMEA 1,7,AE EMEA
00E2J000001ZUuAUAW,AE Enterprise East 2,7,AE Enterprise
00E2J000001ZUu6UAG,AE Enterprise West 2,7,AE Enterprise
00E2J000001ZUugUAG,AM Emerging Enterprise 2,7,AM Emerging Enterprise
00E2J000001ZUuYUAW,AM Enterprise East,7,AM Enterprise
00E2J000001gUBsUAM,Europe SDR Continental,7,Undefined
00E2J000001g8JgUAI,SBS - West,7,Undefined
00E2J000001ZUuKUAW,AE EMEA 2,6,AE EMEA
00E2J000001ZUueUAG,AM Emerging Enterprise 1,6,AM Emerging Enterprise
00E2J000001ZUuRUAW,GAP 2,6,GAP
00E2J000001oJmhUAE,Sales Development,6,Undefined
00E2J000001VzxvUAC,AM East 2,5,Undefined
00E2J0000024wxRUAQ,CRO,5,Undefined
00E2J000001ZUu8UAG,AE Enterprise East 1,4,AE Enterprise
00E2J000001ZUukUAG,CSM EMEA,4,Undefined
00E2J000001ZUuVUAW,GAP 4,4,GAP
00E2J000001gUudUAE,Outbound SDR Central South,4,Undefined
00E2J000001gUuiUAE,Outbound SDR West,4,Undefined
00E2J000001g8JbUAI,SBS Lead - West,4,Undefined
00E2J000001wUOaUAM,AE Care East,3,Undefined
00E2J000001ZUu7UAG,AE Enterprise West 1,3,AE Enterprise
00E2J000001ZUucUAG,AM EMEA,3,AM EMEA
00E2J000001gUuTUAU,Europe SDR UKI-Nordics,3,Undefined
00E2J000001ZUuTUAW,GAP 3,3,GAP
00E2J000001gUunUAE,Outbound SDR Central North,3,Undefined
00E50000001ITdAEAW,Partnerships,3,Undefined
00E2J000001sPowUAE,VP Care,3,Undefined
00E2J000001Z0LDUA0,D2C,2,Undefined
00E2J000001oSCnUAM,GAM AE,2,Undefined
00E2J000001sRJWUA2,"Manager, Europe SDR",2,Undefined
00E2J000001gUusUAE,Outbound SDR Government,2,Undefined
00E2J000001gUv2UAE,Outbound SDR Northeast,2,Undefined
00E2J000001sRJlUAM,Post Sales SDR,2,Undefined
00E2J000001sRJRUA2,VP Sales Development,2,Undefined
00E2J000001gUVKUA2,AE Care West,1,Undefined
00E2J000001gUlMUAU,AM Central 1,1,Undefined
00E2J000001VzxqUAC,AVP AM East,1,Undefined
00E2J000001ZUufUAG,AVP AM Emerging Enterprise,1,AM Emerging Enterprise
00E2J000001ZUuZUAW,AVP AM Enterprise West,1,AM Enterprise
00E2J000001sRKFUA2,AVP AM West 1,1,Undefined
00E2J000001ZUuhUAG,AVP CSM Global SMB,1,AM SMB
00E2J000001ZUuLUAW,AVP EMEA,1,AE EMEA
00E2J000001ZUuCUAW,AVP Emerging Enterprise 1,1,AE Emerging Enterprise
00E2J000001ZUuEUAW,AVP Emerging Enterprise 2,1,AE Emerging Enterprise
00E2J000001ZUuGUAW,AVP Emerging Enterprise 3,1,AE Emerging Enterprise
00E2J000001ZUu9UAG,AVP NorAm Enterprise West,1,AE Enterprise
00E2J000001ZUuIUAW,AVP SMB,1,AE SMB
00E2J000001ZUuNUAW,Chief Customer Officer,1,Undefined
00E2J000001sRnHUAU,Chief Product Officer,1,Undefined
00E50000001rw7eEAA,GAM,1,Undefined
00E2J000001ZUuPUAW,GAP 1,1,GAP
00E2J000001oKBmUAM,GM AM East,1,Undefined
00E50000001J2MTEA0,Head of Account Management,1,Undefined
00E2J000001wYqiUAE,Head of Government,1,Government
00E2J000001ZUu3UAG,Head of Sales,1,Undefined
00E2J000001wK1WUAU,Head of Strategy & Growth,1,Undefined
00E2J000001sRJqUAM,Outbound SDR,1,Undefined
00E2J000001gUuYUAU,Outbound SDR Canada,1,Undefined
00E2J000001gUuxUAE,Outbound SDR Southeast,1,Undefined
00E2J0000024wjyUAA,Partnerships AE,1,Undefined
00E2J000001VqBYUA0,Post Sales SDR Central,1,Undefined
00E2J000001gUv7UAE,Post Sales SDR East,1,Undefined
00E2J000001gUvCUAU,Post Sales SDR West,1,Undefined
00E2J000001ZUubUAG,RVP AM EMEA,1,AM EMEA
00E2J000001ZUudUAG,RVP AM Emerging Enterprise,1,AM Emerging Enterprise
00E2J000001ZUuXUAW,RVP AM Enterprise East,1,AM Enterprise
00E2J000001ZUujUAG,RVP CSM EMEA,1,Undefined
00E2J000001ZUuJUAW,RVP EMEA,1,Undefined
00E2J000001ZUuUUAW,RVP GAP 4,1,GAP
00E2J000001wYqnUAE,RVP Government,1,Government
00E2J000001ZUuBUAW,RVP NorAm Emerging Enterprise,1,AE Emerging Enterprise
00E2J000001ZUulUAG,RVP NorAm Enterprise East,1,AE Enterprise
00E2J000001ZUu5UAG,RVP NorAm Enterprise West,1,AE Enterprise
